Option,Offer Tier,Price Per Client,Clients,One-Time Revenue,Support Assumption,Monthly Support Revenue,Annual Support Revenue,Notes
A,Starter Demo Setup,500,1,500,No retainer,0,0,Entry-level paid demo setup
A,Starter Demo Setup,500,5,2500,No retainer,0,0,Good for early validation
A,Starter Demo Setup,500,10,5000,No retainer,0,0,Lightweight implementation volume
A,Starter Demo Setup,500,20,10000,No retainer,0,0,High-volume starter package
B,Practice Launch,1500,1,1500,Optional support at 150/month,150,1800,Core launch package
B,Practice Launch,1500,5,7500,Optional support at 150/month,750,9000,Early consulting target
B,Practice Launch,1500,10,15000,Optional support at 150/month,1500,18000,Solid niche-service revenue
B,Practice Launch,1500,20,30000,Optional support at 150/month,3000,36000,Repeatable deployment model
C,Workflow Polish,3000,1,3000,Optional support at 300/month,300,3600,Higher-touch workflow package
C,Workflow Polish,3000,5,15000,Optional support at 300/month,1500,18000,Good for deeper client work
C,Workflow Polish,3000,10,30000,Optional support at 300/month,3000,36000,Strong productized service model
C,Workflow Polish,3000,20,60000,Optional support at 300/month,6000,72000,Upper-range consulting scenario
